"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C03137V03789","Type of Cattle","C02196V04140","Region and County","UNIT","VALUE"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE06215","Wicklow","000 Head","12.2"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE063","Midland","000 Head","116.3"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE06308","Laois","000 Head","31.9"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE06309","Longford","000 Head","15.9"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE06312","Offaly","000 Head","33.3"
"AAA10","Number of Cattle in June","2015","2015","05","Cattle: 2 years and over","IE06313","Westmeath","000 Head","35.2"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","-","State","000 Head","417.3"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE04","Northern and Western","000 Head","88.3"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE041","Border","000 Head","32.1"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE04128","Leitrim","000 Head","1"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE04131","Sligo","000 Head","4.8"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE04132","Cavan","000 Head","8.5"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE04133","Donegal","000 Head","6.9"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE04134","Monaghan","000 Head","10.9"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE042","West","000 Head","56.2"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE04225","Galway","000 Head","28.5"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE04229","Mayo","000 Head","13.9"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE04230","Roscommon","000 Head","13.9"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE05","Southern","000 Head","209.1"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE051","Mid-West","000 Head","94.7"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE05116","Clare","000 Head","16"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE05118","Limerick","000 Head","27.7"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE05122","Tipperary","000 Head","51.1"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE052","South-East","000 Head","55.4"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE05201","Carlow","000 Head","5.7"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE05207","Kilkenny","000 Head","23.7"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE05214","Wexford","000 Head","12"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE05225","Waterford","000 Head","14"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE053","South-West","000 Head","59"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE05316","Cork","000 Head","46.8"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE05319","Kerry","000 Head","12.1"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE06","Eastern and Midland","000 Head","119.8"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE061","Dublin","000 Head","1.7"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE06106","Dublin and Mid-East","000 Head","59.2"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE06206","Kildare","000 Head","16"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE06210","Louth","000 Head","8.2"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE06211","Meath","000 Head","28"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE06215","Wicklow","000 Head","5.3"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE063","Midland","000 Head","60.6"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE06308","Laois","000 Head","18.3"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE06309","Longford","000 Head","8.4"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE06312","Offaly","000 Head","16.8"
"AAA10","Number of Cattle in June","2015","2015","06","Cattle male: 2 years and over","IE06313","Westmeath","000 Head","17.1"
"AAA10","Number of Cattle in June","2015","2015","07","Cattle female: 2 years and over","-","State","000 Head","384.4"
"AAA10","Number of Cattle in June","2015","2015","07","Cattle female: 2 years and over","IE04","Northern and Western","000 Head","115.7"
"AAA10","Number of Cattle in June","2015","2015","07","Cattle female: 2 years and over","IE041","Border","000 Head","50.5"
"AAA10","Number of Cattle in June","2015","2015","07","Cattle female: 2 years and over","IE04128","Leitrim","000 Head","4.4"
"AAA10","Number of Cattle in June","2015","2015","07","Cattle female: 2 years and over","IE04131","Sligo","000 Head","8.2"
"AAA10","Number of Cattle in June","2015","2015","07","Cattle female: 2 years and over","IE04132","Cavan","000 Head","13.6"
"AAA10","Number of Cattle in June","2015","2015","07","Cattle female: 2 years and over","IE04133","Donegal","000 Head","10.1"
"AAA10","Number of Cattle in June","2015","2015","07","Cattle female: 2 years and over","IE04134","Monaghan","000 Head","14.2"
